"lemm_gtv_v45_227","sub"
-0.205700102714926,1085983
-0.270792183475938,1125173
-0.15160262465521,1154608
0.0833321228336862,1181124
-0.270792183475938,1183075
-0.270792183475938,1232870
4.31209860341723,1279943
-0.270792183475938,1329352
-0.270792183475938,1330263
-0.270792183475938,1364384
-0.137940580363507,1386095
-0.244665422766124,1458656
-0.270792183475938,1485662
0.138874445063868,1497807
-0.270792183475938,1501387
-0.270792183475938,1518948
-0.270792183475938,1526417
-0.270792183475938,1565177
-0.270792183475938,1606693
-0.270792183475938,1612262
-0.270792183475938,1614566
-0.270792183475938,1644034
-0.270792183475938,1668599
0.264232755128598,1671370
-0.108624165151548,1684230
-0.270792183475938,1692385
-0.270792183475938,1720713
-0.162232360976287,1738800
-0.270792183475938,1740845
-0.270792183475938,1742294
-0.270792183475938,1767700
-0.270792183475938,1768972
-0.195317358055026,1889409
-0.270792183475938,1915938
0.0203849951903862,1916742
-0.270792183475938,1919296
-0.270792183475938,1926770
-0.231610467276082,1938156
-0.270792183475938,1938561
-0.270792183475938,1966316
-0.270792183475938,1967281
-0.270792183475938,1973544
-0.270792183475938,1975401
-0.270792183475938,1976407
-0.270792183475938,1978972
4.3125881239029,1979045
-0.270792183475938,1979422
-0.270792183475938,1980052
-0.270792183475938,2001182
4.3125881239029,2002465
-0.270792183475938,2004451
-0.258730656351259,2006164
-0.270792183475938,2007309
-0.270792183475938,2009915
-0.270792183475938,2010259
-0.270792183475938,2010554
-0.270792183475938,2026671
-0.270792183475938,2033049
-0.265870757692625,2034136
-0.270792183475938,2040495
-0.213499929633702,2047354
-0.270792183475938,2051378
-0.270792183475938,2055667
-0.270792183475938,2057358
-0.270792183475938,2059713
-0.270792183475938,2069079
-0.270792183475938,2070958
-0.270792183475938,2072215
-0.270792183475938,2075832
-0.23479450328638,2075846
-0.270792183475938,2076301
-0.270792183475938,2078198
-0.270792183475938,2078899
-0.270792183475938,2085349
-0.270792183475938,2086044
4.3125881239029,2091555
-0.270792183475938,2092954
-0.270792183475938,2096627
-0.270792183475938,2100050
-0.270792183475938,2108003
-0.270792183475938,2109902
-0.270792183475938,2110540
-0.270792183475938,2116787
-0.150703616470381,2119177
-0.270792183475938,2131601
-0.270792183475938,2132424
-0.270792183475938,2132982
-0.270792183475938,2133204
-0.270792183475938,2133380
-0.270792183475938,2134220
4.18981349997393,2135748
-0.270792183475938,2137799
-0.270792183475938,2138375
-0.270792183475938,2138678
0.253674219855968,2139733
-0.270792183475938,2141116
4.3125881239029,2144796
-0.270792183475938,2145166
-0.270792183475938,2145694
-0.239036661715806,2146138
-0.270792183475938,2151024
-0.270792183475938,215131
-0.270792183475938,2152442
-0.270792183475938,2157529
0.263712808638212,2158101
-0.0246852181397378,2158329
-0.270792183475938,2168082
-0.270792183475938,2172217
-0.258252155275175,2176530
-0.270792183475938,2176784
-0.270792183475938,2181724
-0.270792183475938,2183291
-0.194773865538285,2183356
-0.270792183475938,2185290
-0.270792183475938,2186951
-0.192690155720621,2196212
-0.270792183475938,2199403
-0.270792183475938,2200416
-0.0807317560567212,2200813
-0.270792183475938,2205389
-0.270792183475938,2212664
4.3125881239029,2217034
-0.270792183475938,2218615
-0.151265716081907,2219842
-0.266697137411717,2224150
-0.270792183475938,2228399
-0.270792183475938,2228400
-0.00753252077395944,2234271
-0.0387222944947309,2234422
-0.166175837097349,2237571
-0.195995406020979,2244172
0.124172041993451,2247869
-0.222672705183247,2250648
-0.270792183475938,2250836
-0.270792183475938,2267382
-0.270792183475938,2269346
-0.253107114765792,2271329
-0.270792183475938,2274521
-0.270792183475938,2276121
4.20698028271906,2278618
4.3125881239029,2285214
-0.250230526305806,2286108
-0.270792183475938,2293123
-0.269188369245627,2294852
-0.235399285349459,2294873
-0.270792183475938,2296332
-0.270792183475938,2305114
-0.270792183475938,2305115
-0.270792183475938,2306459
0.463356903231328,2306893
-0.267705602183876,2317120
-0.270792183475938,2319068
4.3125881239029,2321962
-0.270792183475938,2331869
-0.270792183475938,2336735
-0.137886512457678,2339674
-0.267705732090496,2340155
-0.129346224989746,2340322
-0.24877937925525,2350037
-0.246889287479176,2352038
-0.270792183475938,2359944
-0.270792183475938,2381907
-0.268402516996596,2393207
-0.131320144034373,2395415
-0.270792183475938,2395943
-0.270792183475938,2401405
-0.269280265182229,2405144
-0.136306156035742,2414406
-0.23965508899646,2419459
-0.265737727909793,2425694
-0.262048378985375,2426863
-0.270792183475938,2430773
-0.270792183475938,2439458
-0.178977674113382,2443354
-0.261373692278262,2445526
-0.270792183475938,2448298
-0.184229552973381,2453577
-0.2643001433805,2474709
-0.163158986433775,2480056
-0.234474409818886,2480330
-0.159495972921484,2487135
-0.257722662967948,2488660
-0.120719076256339,2490180
-0.163978511701018,2493534
-0.270792183475938,2498991
-0.269525006172269,2500377
-0.270792183475938,2504802
-0.269069108172412,2510402
-0.251019188189575,2520618
-0.244158960986057,2559453
-0.270792183475938,277752
-0.270792183475938,308862
-0.268725425483732,58325
-0.270792183475938,92173
-0.265042835373355,923666
-0.248996217340303,965005
-0.270792183475938,983079
