"mkm7d_gtv_wavelet.HLH_glcm_ClusterShade_227","sub"
-0.11848496437236,1085983
-0.0952060348113571,1125173
1.79856567526114,1154608
-0.145501608843604,1181124
-0.246888540240234,1183075
1.80779747788172,1232870
-0.112549086385124,1279943
-0.188639504447857,1329352
-0.123499997900238,1330263
-0.0517009269191412,1364384
0.00223567745443777,1386095
-0.164579196017156,1458656
-0.123539650045136,1485662
-0.115895733276963,1497807
-0.121869256956099,1501387
-0.168292944764875,1518948
-0.269517248148417,1526417
0.0985294624207358,1565177
-0.121504699401466,1606693
-0.124029924142616,1612262
-0.166805962804406,1614566
-0.124458695486226,1644034
-0.109962492216856,1668599
0.433377528020836,1671370
0.100149581851709,1684230
-0.127698260096254,1692385
-0.0147907975290967,1720713
-0.0875695022325937,1738800
-0.132795718311281,1740845
-0.117999352057222,1742294
-0.0468276862646036,1767700
-0.123719872841281,1768972
-0.0991840496154886,1889409
-0.123209841708577,1915938
0.0160713981078292,1916742
-0.113887936268798,1919296
-0.122601483329488,1926770
-0.0957151900378909,1938156
-0.122401264388762,1938561
-0.122193280896502,1966316
-0.123280500215293,1967281
-0.125809342167133,1973544
-0.0966455418414744,1975401
-0.118025790232094,1976407
-0.123133790735816,1978972
-0.138100445214203,1979045
-0.131886788000109,1979422
-0.178970635407433,1980052
-0.131730984037814,2001182
-0.269368780575286,2002465
-0.125050777269385,2004451
-0.0822887389681357,2006164
-0.122337050284068,2007309
-0.115640420689535,2009915
-0.1539342971117,2010259
0.0980182857511069,2010554
-0.260159760451872,2026671
-0.0607019823315484,2033049
-0.00302533905496938,2034136
0.125720022804835,2040495
-0.121783556354222,2047354
-0.100828935726585,2051378
-0.111941372092501,2055667
-0.139166004049195,2057358
1.63096363249432,2059713
-0.273482528486717,2069079
-0.122618607636726,2070958
-0.0602730912788293,2072215
-0.125457433197792,2075832
-0.129526887155136,2075846
-0.120670501113405,2076301
-0.0981845384315174,2078198
-0.697694060915024,2078899
-0.129150665843681,2085349
0.404327464703607,2086044
-0.144183439696776,2091555
-0.122176879865201,2092954
-0.118639663663065,2096627
0.0548090323511878,2100050
-0.138676705107551,2108003
-0.134815471106683,2109902
-0.162916893036769,2110540
-0.12373247943673,2116787
-0.903000906020123,2119177
-3.92290890673063,2131601
-0.142420232676782,2132424
-0.126995021370643,2132982
-0.13238339474191,2133204
-0.121599193767612,2133380
0.00959525771759676,2134220
0.870197324539553,2135748
-0.090024693185053,2137799
-0.0708453861552559,2138375
0.575412000632084,2138678
-0.24862061497134,2139733
-0.115279098506216,2141116
-0.144034785092184,2144796
-0.128818784048443,2145166
-0.115069584760319,2145694
0.139289250106195,2146138
-0.069176089949504,2151024
-0.129340293529388,215131
-0.103966552834263,2152442
-0.126290030250793,2157529
-0.136094918855626,2158101
-0.156082619109247,2158329
-0.121174738910211,2168082
-0.122930428318236,2172217
-0.138779496597847,2176530
-0.72325342393496,2176784
-0.0658878270373283,2181724
-0.0422508151045349,2183291
-0.129064617432388,2183356
-0.125307989474667,2185290
1.38446290985798,2186951
-0.10306332223984,2196212
-1.23032614423742,2199403
-0.226351323848384,2200416
-0.0720296537267154,2200813
-0.143353730119224,2205389
-0.0511574013918723,2212664
-0.114833604329312,2217034
-0.112612299403843,2218615
-0.0432938263710204,2219842
-0.00286396226369144,2224150
-0.123989600762654,2228399
-0.149626574064543,2228400
-0.0252258643592789,2234271
-0.0860361401323462,2234422
-0.133409431313633,2237571
-0.163414490371402,2244172
2.64244212106304,2247869
-0.126819471665286,2250648
-0.0794497294508946,2250836
-0.160658172035276,2267382
-0.345342384861011,2269346
-0.688363736942893,2271329
-0.0829581976651699,2274521
-0.126414272953389,2276121
-0.228055642920101,2278618
-0.106316023212349,2285214
0.129329657218112,2286108
-0.0677707974545688,2293123
-0.114932340526775,2294852
-0.127086466567461,2294873
-0.113800632557386,2296332
-0.130200085062922,2305114
0.48698667801515,2305115
-0.194070572391353,2306459
0.580359214667703,2306893
-0.0883822321325551,2317120
-0.102850508677429,2319068
-0.102647918886214,2321962
-0.130528049881032,2331869
-0.122109874739701,2336735
0.0220921568100967,2339674
-0.116951284085858,2340155
1.88013077449838,2340322
-0.228056121712915,2350037
-0.156635040631681,2352038
-0.124010839237898,2359944
-0.121339975365276,2381907
-0.31763015740019,2393207
0.202736591189755,2395415
-0.118551340301384,2395943
-0.123685759638907,2401405
-0.134566196992104,2405144
1.15477889968781,2414406
-0.0122293781689081,2419459
-0.128401577464555,2425694
-0.00120927823609613,2426863
-0.228525338941316,2430773
-0.123916260263737,2439458
-0.165252714465031,2443354
-0.119972205819539,2445526
-0.13507858177665,2448298
-0.199524505253564,2453577
-0.166007914332352,2474709
-0.122781779046629,2480056
-0.0523462237243309,2480330
-0.0532121209850795,2487135
-0.199525397965229,2488660
-0.111120969185883,2490180
-0.141441725624409,2493534
-0.245515793520056,2498991
0.189203633289504,2500377
-0.111649285762837,2504802
-0.136163720971669,2510402
12.1890726581137,2520618
-0.0751157099017527,2559453
-0.128902203426568,277752
-0.124446011988462,308862
-0.126565951307003,58325
-0.143961239369901,92173
-0.122119602981989,923666
-0.1237320445099,965005
-0.135033811726123,983079
