"mkm5d_ctv_wavelet.HHH_firstorder_Skewness_226","sub"
-0.11872375979025,1085983
0.407083798532551,1125173
-0.379949910043866,1154608
0.058888371023318,1181124
-0.0814733393695279,1183075
0.272005234704385,1232870
-0.0436816386949276,1279943
-0.317170163353552,1329352
-0.0531202475038318,1330263
-0.227544365247014,1364384
-0.751614575289642,1386095
0.19816587208421,1458656
-0.251152432321822,1485662
-0.953989444562227,1497807
-0.0969986132874653,1501387
0.0733669948656969,1518948
0.415314507582261,1526417
-0.686172771996251,1565177
0.345319720911303,1606693
0.0980107718825905,1612262
-0.848294495209424,1614566
0.528414427828695,1644034
0.0237582417271514,1668599
0.0841150099715206,1671370
-0.49799176725368,1684230
-0.0571416450657107,1692385
9.09066095859145,1720713
0.109908209341844,1738800
0.0488961779511258,1740845
0.270202616644635,1742294
0.944884873804066,1767700
1.07450964537057,1768972
0.233563427962377,1889409
-1.94758340114062,1915938
-0.0687336531624532,1916742
0.337607879235584,1919296
0.333081079648723,1926770
-1.89208790053278,1938156
-0.0929170972337898,1938561
0.299902297059232,1966316
-0.157128516296776,1967281
2.88589271626376,1973544
-0.268520428775917,1975401
0.0365499000103946,1976407
-0.0549592620568471,1978972
-0.25586884658011,1979045
0.241844026318865,1979422
-0.374989435000503,1980052
0.64837786116686,2001182
-0.255517879746913,2002465
0.67524283284726,2004451
0.167138401239078,2006164
0.24556132438438,2007309
-0.332934307405389,2009915
-0.181614297226582,2010259
-0.159393795866204,2010554
-0.466718777763654,2026671
0.856575355204759,2033049
-0.643368254539215,2034136
-0.912825063534241,2040495
0.629935209700338,2047354
0.0195568986917543,2051378
0.23827977378054,2055667
-1.45133367419536,2057358
-0.262433946539331,2059713
0.99100946954027,2069079
0.155026525051609,2070958
-0.502889465856889,2072215
0.604208274985822,2075832
-0.0908944603950916,2075846
-0.199625424467654,2076301
-0.759818719092688,2078198
0.0745601714623041,2078899
0.358673864340159,2085349
0.77366842221629,2086044
-0.778852962335872,2091555
0.0291972826459133,2092954
0.208735236878229,2096627
0.397408877591512,2100050
0.14443717628785,2108003
0.717924199318526,2109902
-0.0548395297871833,2110540
0.5497075898519,2116787
0.750189611436815,2119177
-1.19344016209902,2131601
0.281499175221419,2132424
0.152925089942521,2132982
-0.391858626731741,2133204
0.173555810927523,2133380
0.0706239145661646,2134220
0.206894391688925,2135748
-0.556647857693193,2137799
-0.00440396271983427,2138375
-0.789105451333484,2138678
-0.936337057447467,2139733
0.110668719783108,2141116
1.10083037686952,2144796
0.245926317298109,2145166
-0.0616394748273833,2145694
0.397162336187144,2146138
0.164000952241171,2151024
-0.158533760628405,215131
-0.764083225434373,2152442
-0.259272754493001,2157529
-0.57832737581617,2158101
0.117254128193235,2158329
-0.16889921917793,2168082
0.700725752464976,2172217
0.0899291450207689,2176530
-0.144456996995279,2176784
2.47279262629076,2181724
-0.314960124097423,2183291
-0.238181179742145,2183356
0.524015562607787,2185290
1.11848447470512,2186951
-0.0509448271093458,2196212
-4.27157521398716,2199403
0.037305227686599,2200416
0.296788487852179,2200813
0.195052999349587,2205389
0.134640625314893,2212664
-0.0336022354295982,2217034
2.35014401053872,2218615
0.073581922517728,2219842
-0.0260190728756573,2224150
0.297256322570949,2228399
-0.0930340849781504,2228400
0.24350639287893,2234271
0.175912866708262,2234422
-2.15418823877422,2237571
-0.219847332750662,2244172
0.889009769452494,2247869
0.448288541445705,2250648
-0.0313109714755473,2250836
-0.00462406376921587,2267382
0.0175066959923074,2269346
1.34221328785924,2271329
-2.15831800464453,2274521
0.635528570637061,2276121
0.889269057850272,2278618
0.0821531492056957,2285214
0.129209951034354,2286108
-1.22971042026136,2293123
-0.123898739811503,2294852
-1.38594188751526,2294873
-1.88524430548257,2296332
0.113249233439119,2305114
0.106118398409844,2305115
0.949036812005671,2306459
-0.513140947184305,2306893
-0.819887165522473,2317120
-0.0457534281560317,2319068
0.409929920445977,2321962
0.302454860436443,2331869
0.341948481815981,2336735
-0.0954620895108805,2339674
-0.275298637569505,2340155
-0.303150910405699,2340322
-0.0305017023588412,2350037
-0.251711354359575,2352038
0.291221464347794,2359944
-0.254892313495723,2381907
-1.67204731143203,2393207
-0.492664116901269,2395415
0.101476073646622,2395943
0.267264181372178,2401405
-0.00561601558730233,2405144
-0.546130926705369,2414406
0.220793977632473,2419459
0.0686601246056318,2425694
-0.202100625382431,2426863
-1.03525816489792,2430773
-0.0127179286247555,2439458
-0.25079345373374,2443354
-0.322281436945756,2445526
0.144721350585715,2448298
-0.289299104193618,2453577
-0.501556504707999,2474709
-0.327125861266958,2480056
-0.179937802506148,2480330
1.16488682903666,2487135
0.9220071831502,2488660
-0.0118352017611307,2490180
-0.0779326729796574,2493534
-0.370694950002538,2498991
0.119378729457884,2500377
0.160519474799482,2504802
0.0580724744773252,2510402
-0.917195176983723,2520618
-0.00726744725188333,2559453
-1.32543926808009,277752
-2.33484609344718,308862
0.256983599922268,58325
-0.262740557458672,92173
1.40701353616721,923666
0.0770451562959905,965005
0.199754433143939,983079
