"mkm9d_ctv_lbp.3D.m2_firstorder_Maximum_249","mkm9d_ctv_lbp.3D.m2_firstorder_Range_249","sub"
-0.195733970362226,-0.0362714372065993,1085983
0.00278688426741848,0.0787450355523694,1125173
-0.195733970362226,-0.0362714372065993,1154608
-0.195733970362226,-0.0362714372065993,1181124
-0.195733970362226,-0.0362714372065993,1183075
-0.195733970362226,-0.0362714372065993,1232870
0.00278688426741848,0.0787450355523694,1279943
-0.195733970362226,-0.0362714372065993,1329352
-0.195733970362226,-0.0362714372065993,1330263
-10.3943293733223,-8.36690349965992,1364384
-0.195733970362226,-0.0362714372065993,1386095
-0.112983333496674,0.0116715680186705,1458656
-0.195733970362226,-0.0362714372065993,1485662
1.48800640180453,0.939232516822697,1497807
0.00278688426741848,0.0787450355523694,1501387
-0.195733970362226,-0.0362714372065993,1518948
-0.195733970362226,-0.0362714372065993,1526417
0.00278688426741848,0.0787450355523694,1565177
0.149336161626033,0.163650880827965,1606693
0.309609911820648,0.256508235576044,1612262
0.989946318271319,0.650672838108353,1614566
-0.112983333496674,0.0116715680186705,1644034
-0.112983333496674,0.0116715680186705,1668599
-0.112983333496674,0.0116715680186705,1671370
-0.195733970362226,-0.0362714372065993,1684230
-0.195733970362226,-0.0362714372065993,1692385
-0.195733970362226,-0.0362714372065993,1720713
-0.195733970362226,-0.0362714372065993,1738800
-0.112983333496674,0.0116715680186705,1740845
-0.195733970362226,-0.0362714372065993,1742294
0.00278688426741848,0.0787450355523694,1767700
-0.195733970362226,-0.0362714372065993,1768972
-0.112983333496674,0.0116715680186705,1889409
-0.195733970362226,-0.0362714372065993,1915938
-0.0480783250452637,0.0492754013811606,1916742
-0.195733970362226,-0.0362714372065993,1919296
-0.195733970362226,-0.0362714372065993,1926770
2.98080915290625,1.80411347493119,1938156
-0.195733970362226,-0.0362714372065993,1938561
-0.195733970362226,-0.0362714372065993,1966316
-0.195733970362226,-0.0362714372065993,1967281
-0.195733970362226,-0.0362714372065993,1973544
-0.112983333496674,0.0116715680186705,1975401
-0.112983333496674,0.0116715680186705,1976407
-0.195733970362226,-0.0362714372065993,1978972
-0.195733970362226,-0.0362714372065993,1979045
-0.195733970362226,-0.0362714372065993,1979422
-0.195733970362226,-0.0362714372065993,1980052
0.00278688426741848,0.0787450355523694,2001182
-0.112983333496674,0.0116715680186705,2002465
0.922735505275736,0.611733097210924,2004451
-0.195733970362226,-0.0362714372065993,2006164
0.0660785923774512,0.115414175604616,2007309
-0.112983333496674,0.0116715680186705,2009915
0.00278688426741848,0.0787450355523694,2010259
0.860781636657402,0.575839057486246,2010554
-0.195733970362226,-0.0362714372065993,2026671
0.272670505817341,0.235106755151038,2033049
-0.195733970362226,-0.0362714372065993,2034136
-0.195733970362226,-0.0362714372065993,2040495
-2.71687811011394,-1.496939671847,2047354
0.00278688426741848,0.0787450355523694,2051378
-0.195733970362226,-0.0362714372065993,2055667
1.42981550640049,0.905518620373151,2057358
-0.112983333496674,0.0116715680186705,2059713
-0.195733970362226,-3.98578748535614,2069079
-0.195733970362226,-0.0362714372065993,2070958
0.00278688426741848,0.0787450355523694,2072215
-0.195733970362226,-0.0362714372065993,2075832
-0.195733970362226,-0.0362714372065993,2075846
-0.112983333496674,0.0116715680186705,2076301
2.88220662525734,1.74698640404258,2078198
0.00278688426741848,0.0787450355523694,2078899
-0.195733970362226,-0.0362714372065993,2085349
-0.112983333496674,0.0116715680186705,2086044
-0.195733970362226,-0.0362714372065993,2091555
3.27727897666592,1.97587836820613,2092954
-0.195733970362226,-0.0362714372065993,2096627
-0.112983333496674,0.0116715680186705,2100050
-0.195733970362226,-0.0362714372065993,2108003
-0.112983333496674,0.0116715680186705,2109902
-0.195733970362226,-0.0362714372065993,2110540
-0.112983333496674,0.0116715680186705,2116787
-0.195733970362226,-0.0362714372065993,2119177
-0.195733970362226,-0.0362714372065993,2131601
-0.195733970362226,-0.0362714372065993,2132424
0.0181854868634296,0.0876664809053748,2132982
-0.195733970362226,-0.0362714372065993,2133204
0.00278688426741848,0.0787450355523694,2133380
0.00278688426741848,0.0787450355523694,2134220
2.01516829252431,1.2446528282386,2135748
-0.195733970362226,-0.0362714372065993,2137799
-0.195733970362226,-0.0362714372065993,2138375
-0.195733970362226,-0.0362714372065993,2138678
-0.195733970362226,-0.0362714372065993,2139733
-0.195733970362226,-0.0362714372065993,2141116
-0.195733970362226,-0.0362714372065993,2144796
-0.195733970362226,-0.0362714372065993,2145166
-0.195733970362226,-0.0362714372065993,2145694
0.00278688426741848,0.0787450355523694,2146138
-0.195733970362226,-0.0362714372065993,2151024
-0.195733970362226,-0.0362714372065993,215131
-0.195733970362226,-0.0362714372065993,2152442
-0.195733970362226,-0.0362714372065993,2157529
-0.112983333496674,0.0116715680186705,2158101
-0.112983333496674,0.0116715680186705,2158329
-0.195733970362226,-0.0362714372065993,2168082
-0.195733970362226,-0.0362714372065993,2172217
-0.195733970362226,-0.0362714372065993,2176530
-0.195733970362226,-0.0362714372065993,2176784
-0.195733970362226,-0.0362714372065993,2181724
-0.195733970362226,-0.0362714372065993,2183291
-0.195733970362226,-0.0362714372065993,2183356
-0.195733970362226,-0.0362714372065993,2185290
-0.195733970362226,-0.0362714372065993,2186951
0.184770818743279,0.184180559096036,2196212
-0.195733970362226,-0.0362714372065993,2199403
-0.195733970362226,-0.0362714372065993,2200416
-0.195733970362226,-0.0362714372065993,2200813
-0.195733970362226,-0.0362714372065993,2205389
-0.112983333496674,0.0116715680186705,2212664
-0.195733970362226,-0.0362714372065993,2217034
-0.195733970362226,-0.0362714372065993,2218615
0.717656237433807,0.492916894917342,2219842
0.0199317646860825,0.0886782170073246,2224150
-0.195733970362226,-0.0362714372065993,2228399
-0.112983333496674,0.0116715680186705,2228400
-0.112983333496674,0.0116715680186705,2234271
-0.112983333496674,0.0116715680186705,2234422
-0.195733970362226,-0.0362714372065993,2237571
-0.195733970362226,-0.0362714372065993,2244172
-0.112983333496674,0.0116715680186705,2247869
-0.195733970362226,-0.0362714372065993,2250648
0.00278688426741848,0.0787450355523694,2250836
-0.112983333496674,0.0116715680186705,2267382
-0.112983333496674,0.0116715680186705,2269346
-0.112983333496674,0.0116715680186705,2271329
-0.112983333496674,0.0116715680186705,2274521
3.15954516757018,1.90766726025008,2276121
-0.195733970362226,-8.85954506606112,2278618
-0.112983333496674,0.0116715680186705,2285214
2.51962738396364,1.5369198822808,2286108
-0.195733970362226,-0.0362714372065993,2293123
0.428593896234385,0.325443654112332,2294852
0.597829234327871,0.423493058997261,2294873
-0.112983333496674,0.0116715680186705,2296332
-0.112983333496674,0.0116715680186705,2305114
-0.112983333496674,0.0116715680186705,2305115
-0.195733970362226,-0.0362714372065993,2306459
0.00278688426741848,0.0787450355523694,2306893
0.00278688426741848,0.0787450355523694,2317120
1.23142218725861,0.790576037493319,2319068
-0.112983333496674,0.0116715680186705,2321962
-0.195733970362226,-0.0362714372065993,2331869
1.69921460174771,1.06159962137982,2336735
-0.0382291074210175,0.0549817150714257,2339674
1.75042693296329,1.09127036659784,2340155
-0.195733970362226,-0.0362714372065993,2340322
-0.195733970362226,-0.0362714372065993,2350037
-0.112983333496674,0.0116715680186705,2352038
1.21667881295541,0.782034209925212,2359944
0.00278688426741848,0.0787450355523694,2381907
-0.195733970362226,-0.0362714372065993,2393207
-0.112983333496674,0.0116715680186705,2395415
-0.112983333496674,0.0116715680186705,2395943
-0.195733970362226,-0.0362714372065993,2401405
-0.195733970362226,-0.0362714372065993,2405144
