"mkm5d_ctvper_wavelet.LHH_glcm_ClusterShade_235","sub"
-0.15282204208826,1085983
-0.123615829437563,1125173
-0.113651508950357,1154608
-0.074445090649572,1181124
-0.134254497159336,1183075
-0.176997039045629,1232870
0.0778525954915942,1279943
-0.0761624756391231,1329352
-0.10619869321563,1330263
-0.365002254272607,1364384
-0.250262393060752,1386095
-0.0899462976457809,1458656
-0.188698005786521,1485662
-0.0796544733050735,1497807
-0.10837787278264,1501387
-0.0214851520437984,1518948
-0.159323703746408,1526417
-0.263079711288834,1565177
0.231834534386881,1606693
-0.173653137578391,1612262
1.1337288453329,1614566
-0.189507032997852,1644034
-0.186489166311762,1668599
-0.117888283530369,1671370
0.151303970593853,1684230
-0.180075747972921,1692385
-0.159612962523416,1720713
-0.141547939837992,1738800
-0.14342577824969,1740845
-0.169667965897459,1742294
-0.156515185066913,1767700
0.395650992097369,1768972
0.663367021715505,1889409
-0.144317644679997,1915938
-0.0592223385689552,1916742
-0.0453892967917362,1919296
0.194515996482452,1926770
0.27930809943437,1938156
-0.168340426972251,1938561
-0.223653573754413,1966316
-0.135971673190315,1967281
1.93975734280299,1973544
-0.247672653219504,1975401
-0.204277533411165,1976407
-0.219637021409442,1978972
-0.21238974436821,1979045
-0.161813436450385,1979422
0.1354057065756,1980052
0.739452870787635,2001182
-0.181744670379391,2002465
-0.287928433111438,2004451
-0.12572791675678,2006164
-0.227314328482074,2007309
-0.1591264344292,2009915
-0.105259263741598,2010259
0.19509994130666,2010554
-0.040566324883186,2026671
-0.197499147231976,2033049
0.0325435363488928,2034136
-0.159852613536118,2040495
12.2368312266891,2047354
-0.168693409681642,2051378
-0.136749767874555,2055667
-0.138022118923141,2057358
-0.18568719858663,2059713
-0.196826013579372,2069079
0.962483978746564,2070958
-0.113954613446274,2072215
-0.164531052815768,2075832
-0.14397686422529,2075846
-0.156346480791881,2076301
0.485411839891768,2078198
-0.00356996894817382,2078899
-0.00842711653761863,2085349
-0.420743133364065,2086044
-0.149559708836339,2091555
-0.150367691859574,2092954
-0.0684674722357829,2096627
-0.409911718564504,2100050
-0.153335956809456,2108003
-0.142121581383113,2109902
-0.0965942241219022,2110540
-0.215692541905685,2116787
0.153419222392616,2119177
0.315950233327116,2131601
-0.0722673479839766,2132424
-0.14609154611942,2132982
-0.00168776824600761,2133204
0.514503181848821,2133380
-0.277186868661843,2134220
-0.0511943615738351,2135748
-0.234296066014144,2137799
0.0190727957535307,2138375
-0.204800312047594,2138678
-0.0978982484334074,2139733
0.168650358150104,2141116
-0.216396188716332,2144796
-0.105565365758612,2145166
-0.216423332706578,2145694
-0.154932274014858,2146138
-0.156195559147426,2151024
-0.154504171577122,215131
-0.0297507515698148,2152442
-0.0685794303260552,2157529
-0.215161342806302,2158101
3.02951153071947,2158329
-0.172492991494208,2168082
0.0489106032288807,2172217
0.189878159574774,2176530
-3.71229151190682,2176784
-0.116550350212562,2181724
0.0131522646762869,2183291
-0.139203932394806,2183356
-0.155750419473048,2185290
-0.155699816917018,2186951
-0.0151327104545702,2196212
0.463014188691245,2199403
-0.248043560229976,2200416
-0.163838613224408,2200813
0.498383906324915,2205389
-0.0732802707127615,2212664
-0.123122695198877,2217034
0.118458922809044,2218615
-0.949909182106464,2219842
-0.365648844194829,2224150
-0.150981788033326,2228399
-0.0721096753113566,2228400
-0.141014404425815,2234271
-0.0515675244871152,2234422
-1.62208642304093,2237571
0.132166919823896,2244172
-0.145989502332931,2247869
-0.160386389221573,2250648
-0.202640527834426,2250836
-0.164048002611247,2267382
0.119317208901692,2269346
0.281819013062759,2271329
0.0272571559091053,2274521
0.157818233353494,2276121
-0.193629706657771,2278618
-0.226925295031725,2285214
-0.155872382636967,2286108
-0.126932896726366,2293123
-0.249836736089259,2294852
-0.052375564118154,2294873
-0.113480997940452,2296332
-0.125805313065583,2305114
-0.0774325593914677,2305115
-0.163831072591398,2306459
-0.087075640233049,2306893
0.12133938919174,2317120
-0.177930682696789,2319068
-0.100106864410484,2321962
-0.15315504600399,2331869
-0.115913184884517,2336735
0.000303925176618659,2339674
-0.100251828062634,2340155
-0.200902838510557,2340322
-0.15872637514302,2350037
-0.158577437252894,2352038
-0.403382111442269,2359944
-0.0246784649077184,2381907
-0.213315515076456,2393207
-0.0874733129155084,2395415
-0.106992932890707,2395943
-0.11751168644707,2401405
-0.128067438373277,2405144
0.361001603248606,2414406
-0.0811073576858832,2419459
-0.157177365620028,2425694
-0.151069109039919,2426863
0.171875810360365,2430773
-0.146567643090977,2439458
-0.218592012887572,2443354
-0.13191714695721,2445526
-0.139231182789719,2448298
-0.299804885717074,2453577
-0.193215166198822,2474709
-0.082815354316151,2480056
0.0967163857804049,2480330
-0.197500218886411,2487135
-0.140451034520709,2488660
-0.150487915056401,2490180
-0.161684339461469,2493534
-0.178704575823539,2498991
-0.176645699039779,2500377
-0.100658606534248,2504802
0.0577033048642835,2510402
-0.161334781858411,2520618
-0.152357602351611,2559453
-0.297431758671557,277752
-0.560199902515518,308862
2.43881260603203,58325
0.138223997356384,92173
0.489394500009437,923666
-0.107722698379794,965005
-0.0359802568828728,983079
